ANO,SG_UF_ESC,DEPENDENCIA,N_INSCRITOS,N_PARTICIPANTES_D1,N_PARTICIPANTES_D2,N_PARTICIPANTES_D1D2,PERC_PARTIC_D1,PERC_PARTIC_D2,PERC_PARTIC_D1D2,MEDIA_CH,MEDIA_LC,MEDIA_CN,MEDIA_MT,MEDIA_REDACAO,MEDIA_GERAL,MEDIA_COMP1,MEDIA_COMP2,MEDIA_COMP3,MEDIA_COMP4,MEDIA_COMP5,N_REDACOES,N_RED_SEM_PROBLEMAS,N_RED_ANULADA,N_RED_COPIA_TEXTO_MOTIVADOR,N_RED_EM_BRANCO,N_RED_FERE_DH,N_RED_FUGA_TEMA,N_RED_TIPO_TEXTUAL,N_RED_TEXTO_INSUFICIENTE,N_RED_PARTE_DESCONECTADA,PERC_RED_SEM_PROBLEMAS,PERC_RED_ANULADA,PERC_RED_COPIA_TEXTO_MOTIVADOR,PERC_RED_EM_BRANCO,PERC_RED_FERE_DH,PERC_RED_FUGA_TEMA,PERC_RED_TIPO_TEXTUAL,PERC_RED_TEXTO_INSUFICIENTE,PERC_RED_PARTE_DESCONECTADA
2017,BA,Privada,14763,14302,14159,14144,"96,88","95,91","95,81","576,29","549,19","562,39","587,97","669,35","589,75","139,79","140,69","136,47","138,02","114,39",14302,14101,0,6,29,0,149,1,12,4,"98,59",0,"0,04","0,2",0,"1,04","0,01","0,08","0,03"
2017,Brasil,Estadual,1423447,1117518,1053318,1050497,"78,51",74,"73,8","495,01","489,23","488,37","492,96","491,19","493,72","110,13","107,1","99,17","101,32","73,48",1117518,1034244,441,1492,13163,0,60433,740,5662,1343,"92,55","0,04","0,13","1,18",0,"5,41","0,07","0,51","0,12"
2017,Brasil,Federal,44843,42401,41813,41760,"94,55","93,24","93,12","577,25","552,35","564,74","601,47","646,87","589,44","137,09","133,54","132,19","133,2","110,85",42401,41669,3,2,85,0,582,2,41,17,"98,27","0,01",0,"0,2",0,"1,37",0,"0,1","0,04"
2017,Brasil,Municipal,20375,14944,13935,13904,"73,34","68,39","68,24","503,51","496,17","497,28","503,64","490,77","501,26","110,58","106,69","99,38","100,91","73,2",14944,13775,7,16,141,0,894,14,76,21,"92,18","0,05","0,11","0,94",0,"5,98","0,09","0,51","0,14"
2017,Brasil,Privada,297216,283561,278953,278735,"95,41","93,86","93,78","576,77","552,93","565,04","601,69","648,32","589,94","137,77","134,51","131,85","133,6","110,6",283561,278865,14,71,617,0,3638,21,264,71,"98,34",0,"0,03","0,22",0,"1,28","0,01","0,09","0,03"
2017,CE,Estadual,108053,84725,82133,81307,"78,41","76,01","75,25","481,95","474,74","479,07","484,76","473,01","480,67","102,92","102,15","94,78","97,19","75,98",84725,75709,127,384,1634,0,5881,51,833,106,"89,36","0,15","0,45","1,93",0,"6,94","0,06","0,98","0,13"
2017,CE,Federal,1015,962,950,949,"94,78","93,6","93,5","567,49","548,74","556,56","598,79","635,84","582,88","136,03","130,54","130,04","131,73","107,51",962,940,0,0,6,0,15,0,1,0,"97,71",0,0,"0,62",0,"1,56",0,"0,1",0
2017,CE,Municipal,430,221,197,196,"51,4","45,81","45,58","468,03","462,24","469,21","461,47","394,39","453,51","88,87","88,6","79,55","79,91","57,47",221,184,0,1,7,0,23,1,5,0,"83,26",0,"0,45","3,17",0,"10,41","0,45","2,26",0
2017,CE,Privada,11203,10819,10697,10692,"96,57","95,48","95,44","577,59","547,23","567,18","612,01","701,66","601,99","143,49","141,8","141,44","146,28","128,65",10819,10697,0,3,19,0,87,0,10,3,"98,87",0,"0,03","0,18",0,"0,8",0,"0,09","0,03"
2017,DF,Estadual,23850,20102,19090,19044,"84,29","80,04","79,85","508,82","504,88","499,01","498,16","522,25","509,04","116,71","111,73","105,7","107,26","80,85",20102,18969,4,12,239,0,808,12,48,10,"94,36","0,02","0,06","1,19",0,"4,02","0,06","0,24","0,05"
2017,DF,Federal,640,569,559,559,"88,91","87,34","87,34","586,4","562,97","575,59","614,3","639,61","596,12",138,"129,88","131,14","132,58","108,01",569,562,0,0,1,0,5,0,1,0,"98,77",0,0,"0,18",0,"0,88",0,"0,18",0
2017,DF,Privada,8423,7985,7874,7867,"94,8","93,48","93,4","589,62","566,9","577,58","610,68","643,97","598,84","137,98","132,6","131,58","132,81","109,01",7985,7849,0,2,24,0,101,1,5,3,"98,3",0,"0,03","0,3",0,"1,26","0,01","0,06","0,04"
2017,ES,Estadual,31466,26317,25026,24976,"83,64","79,53","79,37","501,2","491,17","496,52","500,73","495,99","499,38","111,72","106,72","100,16","102,6","74,78",26317,24323,6,26,428,0,1341,23,140,30,"92,42","0,02","0,1","1,63",0,"5,1","0,09","0,53","0,11"
2017,ES,Federal,1858,1806,1795,1793,"97,2","96,61","96,5","606,08","564,68","595,73","647,76","701,27","623,63","145,39","141,87","142,19","145,9","125,91",1806,1789,0,0,3,0,13,0,0,1,"99,06",0,0,"0,17",0,"0,72",0,0,"0,06"
2017,ES,Municipal,98,64,61,61,"65,31","62,24","62,24","483,19","478,44","482,2","459,6","410,31","461,98","97,19",90,"82,5","88,44","52,19",64,55,0,0,2,0,7,0,0,0,"85,94",0,0,"3,12",0,"10,94",0,0,0
2017,ES,Privada,4927,4807,4762,4760,"97,56","96,65","96,61","592,76","558,29","581,68","628,99","686,48","610,21","142,62","141,33","140,04","142,58","119,92",4807,4742,0,0,10,0,48,0,4,3,"98,65",0,0,"0,21",0,1,0,"0,08","0,06"
2017,GO,Estadual,48878,38493,36219,36155,"78,75","74,1","73,97","493,57","489,79","489,56","493,69","498,1","495,35","110,55","109,9","101,04","102,81","73,8",38493,36152,10,25,414,0,1680,35,119,58,"93,92","0,03","0,06","1,08",0,"4,36","0,09","0,31","0,15"
2017,GO,Federal,1730,1632,1611,1609,"94,34","93,12","93,01","569,6","545,82","559,89","575,77","637,32","578,55","133,93","132,87","129,89","131,2","109,42",1632,1602,0,0,5,0,22,0,3,0,"98,16",0,0,"0,31",0,"1,35",0,"0,18",0
2017,GO,Municipal,394,261,238,238,"66,24","60,41","60,41","498,55","488,15","499,25","499,48","502,99","502,42","110,88","109,43","102,53","102,76","77,39",261,240,0,0,2,0,15,2,2,0,"91,95",0,0,"0,77",0,"5,75","0,77","0,77",0
2017,GO,Privada,10531,10049,9902,9897,"95,42","94,03","93,98","571,56","547,54","567,88","593,22","662,94","589,76","137,71","137,8","134,9","136,82","115,71",10049,9898,1,3,24,0,111,1,7,4,"98,5","0,01","0,03","0,24",0,"1,1","0,01","0,07","0,04"
2017,MA,Estadual,55614,44462,42291,42182,"79,95","76,04","75,85","468,59","463,42","473,97","465,12","447,58","465,78","100,12","99,76","91,4","93,28","63,01",44462,39452,19,84,523,0,4000,26,292,66,"88,73","0,04","0,19","1,18",0,9,"0,06","0,66","0,15"
2017,MA,Federal,2621,2494,2455,2453,"95,15","93,67","93,59","539,19","523,15","528,84","536,62","602,2","546,91","128,61","127,02","123,06","123,88","99,62",2494,2418,0,1,2,0,69,0,2,2,"96,95",0,"0,04","0,08",0,"2,77",0,"0,08","0,08"
2017,MA,Municipal,506,384,363,361,"75,89","71,74","71,34","459,03","451,23","470,68","453,24","402,4","450,02","90,73","93,18","82,4","84,06","52,03",384,323,1,3,6,0,40,1,10,0,"84,11","0,26","0,78","1,56",0,"10,42","0,26","2,6",0
2017,MA,Privada,5906,5601,5506,5499,"94,84","93,23","93,11","545,69","525,15","535,03","546,89","622,74","556,41","132,53","130,31","127,82","129,58","102,5",5601,5433,1,4,16,0,128,2,16,1,97,"0,02","0,07","0,29",0,"2,29","0,04","0,29","0,02"
2017,MG,Estadual,146155,116057,109664,109520,"79,41","75,03","74,93","507,69","499,01","499,6","511,21","511,88","508,32","114,73","111,09","103,43","105,45","77,18",116057,109321,47,108,1111,0,4852,72,393,153,"94,2","0,04","0,09","0,96",0,"4,18","0,06","0,34","0,13"
2017,MG,Federal,5787,5582,5543,5540,"96,46","95,78","95,73","603,9","571,29","590,08","648,99","688,84","621,04","143,58","139,92","140,77","141,44","123,13",5582,5544,0,0,5,0,33,0,0,0,"99,32",0,0,"0,09",0,"0,59",0,0,0
