year,area,competency_code,skill_code,skill_status,question_count,question_percentage,english_question_count,english_question_percentage,spanish_question_count,spanish_question_percentage,total_area_questions
2018,LC,4.0,14,INFORMADA,,,3.0,0.06666666666666667,3.0,0.06666666666666667,45
2018,LC,5.0,15,INFORMADA,,,2.0,0.044444444444444446,2.0,0.044444444444444446,45
2018,LC,5.0,16,INFORMADA,,,2.0,0.044444444444444446,2.0,0.044444444444444446,45
2018,LC,5.0,17,INFORMADA,,,4.0,0.08888888888888889,4.0,0.08888888888888889,45
2018,LC,6.0,18,INFORMADA,,,2.0,0.044444444444444446,2.0,0.044444444444444446,45
2018,LC,6.0,19,INFORMADA,,,2.0,0.044444444444444446,2.0,0.044444444444444446,45
2018,LC,6.0,20,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,7.0,21,INFORMADA,,,3.0,0.06666666666666667,3.0,0.06666666666666667,45
2018,LC,7.0,22,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,7.0,23,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,7.0,24,INFORMADA,,,2.0,0.044444444444444446,2.0,0.044444444444444446,45
2018,LC,8.0,25,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,8.0,26,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,8.0,27,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,9.0,28,INFORMADA,,,2.0,0.044444444444444446,2.0,0.044444444444444446,45
2018,LC,9.0,29,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,LC,9.0,30,INFORMADA,,,1.0,0.022222222222222223,1.0,0.022222222222222223,45
2018,MT,1.0,1,INFORMADA,1.0,0.022222222222222223,,,,,45
2018,MT,1.0,2,INFORMADA,2.0,0.044444444444444446,,,,,45
2018,MT,1.0,3,INFORMADA,2.0,0.044444444444444446,,,,,45
2018,MT,1.0,4,INFORMADA,2.0,0.044444444444444446,,,,,45
